"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"BeModelGoal","BeModelGoal","","","",0,*,"","","","null {[]} {[]}
","BeModelGoal","Logical model for Goal.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"BeModelGoal.identifier","BeModelGoal.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Identifiers assigned to this goal","Identifiers assigned to this goal","","","","","","","","","",,,,,"",,,,"BeModelGoal.identifier",0,*,"",""
"BeModelGoal.name","BeModelGoal.name","","","",1,1,"","","","string {[]} {[]}
","Human-readable name for the goal","Human-readable name for the goal","","","","","","","","","",,,,,"",,,,"BeModelGoal.name",1,1,"",""
"BeModelGoal.category","BeModelGoal.category","","","",1,*,"","","","CodeableConcept {[]} {[]}
","Category of goal","Category of goal","","","","","","","","","",,,,,"",,,,"BeModelGoal.category",1,*,"",""
"BeModelGoal.status","BeModelGoal.status","","","",1,1,"","","","code {[]} {[]}
","Status of the goal","Status of the goal","","","","","","","","","",,,,,"",,,,"BeModelGoal.status",1,1,"",""
