Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.patient-care.json	4896	-	0	0	0	0	0	0	13	114	0	0	0	0	0	0	0	1	0	0	73	105	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-BeModelCarePlan.json	7580	31	0	63	1	0	0	0	0	86	0	0	1	0	0	0	0	0	0	0	127	606	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-BeModelCareTeam.json	5085	31	0	31	0	0	0	0	0	45	0	0	0	0	0	0	0	1	0	0	71	382	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-BeModelGoal.json	2003	31	0	26	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	36	182	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-BeModelTask.json	2446	25	0	27	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	38	125	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-be-care-plan.json	7042	28	0	89	1	0	0	0	1	39	0	0	1	0	0	0	0	1	0	0	197	584	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-be-careteam.json	4313	18	0	50	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	0	112	275	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-be-goal.json	1928	4	0	56	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	100	290	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-be-task.json	4145	3	0	75	0	0	0	0	0	31	0	0	0	0	0	0	0	1	0	0	153	510	0	0	0	9	0	1
